PHIF,SW,VSH,BVW,KLOGH,KLOGV,WELL,DEPTH
0.234471,0.9492,0.1577,0.222551,286.1839,229.9044,15_9-19 BT2,4060.698
0.235837,0.9735,0.1588,0.229597,286.6723,230.3209,15_9-19 BT2,4060.8504
0.233165,1.0,0.1725,0.233165,205.3329,161.6123,15_9-19 BT2,4061.0028
0.230528,1.0,0.1528,0.230528,294.3813,236.9017,15_9-19 BT2,4061.1552
0.236453,1.0,0.1373,0.236453,452.9084,374.2823,15_9-19 BT2,4061.3076
0.239909,0.9541,0.1299,0.228898,562.0589,470.7061,15_9-19 BT2,4061.46
0.233215,0.9873,0.1359,0.230257,439.0819,362.1635,15_9-19 BT2,4061.6124
0.235508,1.0,0.1352,0.235508,464.4053,384.3767,15_9-19 BT2,4061.7648
0.236168,1.0,0.1571,0.236168,298.5406,240.4566,15_9-19 BT2,4061.9172
0.238112,1.0,0.1634,0.238112,272.0908,217.9035,15_9-19 BT2,4062.0696
0.241257,1.0,0.1717,0.241257,242.6036,192.9201,15_9-19 BT2,4062.222
0.160382,1.0,0.2258,0.160382,17.8328,12.0735,15_9-19 BT2,4062.3744
0.101214,1.0,0.2443,0.101214,0.1,2.5221,15_9-19 BT2,4062.5268
0.132345,1.0,0.2697,0.132345,0.1,2.651,15_9-19 BT2,4062.6792
0.138628,1.0,0.3738,0.138628,0.1,0.3038,15_9-19 BT2,4062.8316
0.142608,0.9763,0.3415,0.139231,1.1676,0.6682,15_9-19 BT2,4062.984
0.186657,0.7846,0.3659,0.146446,1.585,0.9244,15_9-19 BT2,4063.1364
0.176159,0.8571,0.2648,0.150983,10.6237,6.9667,15_9-19 BT2,4063.2888
0.173867,1.0,0.244,0.173867,15.6723,10.5266,15_9-19 BT2,4063.4412
0.228437,0.902,0.2231,0.206044,66.0395,48.4683,15_9-19 BT2,4063.5936
0.228912,0.9122,0.2305,0.208803,57.1314,41.5576,15_9-19 BT2,4063.746
0.229369,0.9259,0.2208,0.212367,70.48,51.9351,15_9-19 BT2,4063.8984
0.230627,0.9437,0.2167,0.217643,78.3914,58.1449,15_9-19 BT2,4064.0508
0.230527,0.9535,0.1914,0.219814,132.3675,101.4018,15_9-19 BT2,4064.2032
0.230684,0.962,0.2204,0.221924,72.7378,53.7031,15_9-19 BT2,4064.3556
0.237263,0.9489,0.2028,0.225146,118.1793,89.9024,15_9-19 BT2,4064.508
0.244725,0.9187,0.2287,0.22482,79.2636,58.8319,15_9-19 BT2,4064.6604
0.231244,0.9731,0.2198,0.225019,74.4877,55.0757,15_9-19 BT2,4064.8128
0.139324,1.0,0.2766,0.139324,4.2226,2.616,15_9-19 BT2,4064.9652
0.114237,1.0,0.2832,0.114237,2.3179,1.3839,15_9-19 BT2,4065.1176
0.156762,1.0,0.3643,0.156762,0.945,0.5338,15_9-19 BT2,4065.27
0.151144,1.0,0.3279,0.151144,1.8132,1.0663,15_9-19 BT2,4065.4224
0.213554,0.9392,0.3207,0.200577,6.636,4.2273,15_9-19 BT2,4065.5748
0.190939,1.0,0.3539,0.190939,2.1994,1.3089,15_9-19 BT2,4065.7272
0.057562,1.0,0.509,0.057562,0.0076,0.0032,15_9-19 BT2,4065.8796
0.064763,1.0,0.5245,0.064763,0.0063,0.0026,15_9-19 BT2,4066.032
0.123786,1.0,0.4692,0.123786,0.01,0.0279,15_9-19 BT2,4066.1844
0.189686,1.0,0.3536,0.189686,2.1618,1.2852,15_9-19 BT2,4066.3368
0.202824,1.0,0.2375,0.202824,30.5347,21.3698,15_9-19 BT2,4066.4892
0.219297,0.9823,0.1943,0.215408,101.3422,76.3671,15_9-19 BT2,4066.6416
0.226956,0.9596,0.1587,0.217796,243.9135,194.0261,15_9-19 BT2,4066.794
0.223868,0.972,0.1736,0.217604,169.1352,131.5404,15_9-19 BT2,4066.9464
0.220467,0.9977,0.1827,0.219962,131.6423,100.8122,15_9-19 BT2,4067.0988
0.224183,0.9929,0.1566,0.222591,242.3882,192.7388,15_9-19 BT2,4067.2512
0.22736,0.9904,0.1544,0.225187,268.4853,214.8394,15_9-19 BT2,4067.4036
0.231823,1.0,0.1556,0.231823,284.47,228.4429,15_9-19 BT2,4067.556
0.228831,1.0,0.1656,0.228831,218.9316,172.9978,15_9-19 BT2,4067.7084
0.228385,1.0,0.1584,0.228385,252.1634,201.0003,15_9-19 BT2,4067.8608
0.241964,0.9578,0.1577,0.231748,328.4271,266.0885,15_9-19 BT2,4068.0132
0.1995,1.0,0.1649,0.1995,129.4647,99.0427,15_9-19 BT2,4068.1656
0.217943,1.0,0.1689,0.217943,167.3845,130.0953,15_9-19 BT2,4068.318
0.225748,1.0,0.1829,0.225748,144.6095,111.3855,15_9-19 BT2,4068.4704
0.23392,1.0,0.1879,0.23392,151.3113,116.8735,15_9-19 BT2,4068.6228
0.232271,1.0,0.1849,0.232271,156.3778,121.0322,15_9-19 BT2,4068.7752
0.237056,0.9929,0.1903,0.235364,152.7333,118.0398,15_9-19 BT2,4068.9276
0.239637,0.9729,0.1934,0.233142,149.9908,115.7909,15_9-19 BT2,4069.08
0.238957,0.9713,0.2009,0.232091,127.0292,97.0658,15_9-19 BT2,4069.2324
0.236322,0.9824,0.2012,0.232163,120.151,91.4956,15_9-19 BT2,4069.3848
0.235271,1.0,0.2045,0.235271,109.965,83.283,15_9-19 BT2,4069.5372
0.193803,1.0,0.197,0.193803,59.8616,43.6689,15_9-19 BT2,4069.6896
0.155164,1.0,0.2034,0.155164,25.7599,17.8402,15_9-19 BT2,4069.842
0.169118,1.0,0.2155,0.169118,0.1,17.9365,15_9-19 BT2,4069.9944
0.171426,1.0,0.2764,0.171426,0.1,4.922,15_9-19 BT2,4070.1468
0.058196,1.0,0.311,0.058196,0.1,0.2508,15_9-19 BT2,4070.2992
0.034837,1.0,0.3175,0.034837,0.1,0.1377,15_9-19 BT2,4070.4516
0.02322,1.0,0.3232,0.02322,0.1,0.0968,15_9-19 BT2,4070.604
0.030377,1.0,0.354,0.030377,0.1,0.0566,15_9-19 BT2,4070.7564
0.085011,0.9768,0.3602,0.083039,0.1,0.1436,15_9-19 BT2,4070.9088
0.110464,0.8925,0.3668,0.098587,0.1,0.2041,15_9-19 BT2,4071.0612
0.160466,0.8071,0.36,0.129507,1.1063,0.631,15_9-19 BT2,4071.2136
0.136603,0.9954,0.3335,0.135973,1.2345,0.709,15_9-19 BT2,4071.366
0.089205,1.0,0.3195,0.089205,0.6891,0.3818,15_9-19 BT2,4071.5184
